island,site,web,totalprey,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8
Guam,Sblas,B'A,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'B,1,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'C,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'D,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'E,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'F,1,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'G,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'H,1,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'I,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'J,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'K,1,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'L,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'M,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'N,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'O,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'P,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'Q,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'R,1,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'S,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'T,1,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'U,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'V,1,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'W,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'X,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'Y,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,B'Z,2,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,C'A,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,C'B,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,C'C,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,C'D,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Sblas,C'E,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'F,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'G,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'H,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'I,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'J,5,5,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'K,5,5,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'L,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'M,4,4,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'N,6,6,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'O,3,3,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'P,6,6,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'Q,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C;R,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'S,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'T,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'U,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'V,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'W,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'X,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'Y,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,C'Z,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'A,3,3,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'B,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'C,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'D,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'E,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'F,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'G,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'H,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'J,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'K,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'L,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'M,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'N,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'O,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'P,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'Q,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'R,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'S,4,4,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'T,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'U,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'V,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'W,4,4,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'Y,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'X,4,4,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'Y,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,D'Z,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'A,4,4,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'B,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'C,3,3,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'D,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'E,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'F,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'G,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'H,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'I,5,5,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'J,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'K,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'L,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'M,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'N,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'O,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'P,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'Q,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'R,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'S,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'T,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'U,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'V,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'W,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'X,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'Y,4,4,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,E'Z,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'A,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'B,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'C,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'D,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'E,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'F,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'G,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'H,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'I,4,4,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'J,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'K,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'L,2,2,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'M,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'N,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'O,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'P,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'Q,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'R,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'S,6,6,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'T,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'U,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'V,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'W,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'X,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'Y,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,F'Z,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'A,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'B,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'C,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'D,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'E,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'F,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'G,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'H,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'I,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'J,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'K,1,1,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'L,0,0,NA,NA,NA,NA,NA,NA,NA
Guam,Anao,G'M,1,1,NA,NA,NA,NA,NA,NA,NA
Saipan,MTR,G'N,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,MTR,G'O,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,G'P,0,0,0,0,0,0,0,0,NA
Saipan,MTR,G'Q,0,0,0,0,NA,NA,NA,NA,NA
Saipan,MTR,G'R,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,Forbi,G'S,0,0,0,NA,NA,NA,NA,NA,NA
Saipan,Forbi,G'T,0,0,0,0,0,NA,NA,NA,NA
Saipan,Forbi,G'U,3,0,3,0,NA,NA,NA,NA,NA
Saipan,LADT,G'V,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,G'W,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,G'X,2,2,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,G'Y,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,G'Z,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,H'A,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,H'B,1,1,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,H'C,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,H'D,0,0,0,0,NA,NA,NA,NA,NA
Saipan,LADT,H'E,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,H'F,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,H'G,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,H'H,0,0,NA,NA,NA,NA,NA,NA,NA
Siapan,LADT,H'I,0,0,0,NA,NA,NA,NA,NA,NA
Saipan,LADT,H'J,0,0,0,0,NA,NA,NA,NA,NA
Saipan,Forbi,H'K,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,Forbi,H'L,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,Forbi,H'M,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,Forbi,H'N,0,0,0,NA,NA,NA,NA,NA,NA
Saipan,Forbi,H'O,1,0,1,0,NA,NA,NA,NA,NA
Saipan,Forbi,H'P,0,0,0,0,0,NA,NA,NA,NA
Saipan,Forbi,H'Q,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,Forbi,H'R,0,0,0,0,NA,NA,NA,NA,NA
Saipan,Forbi,H'S,0,0,0,0,0,NA,NA,NA,NA
Saipan,Forbi,H'T,0,0,0,0,0,0,NA,NA,NA
Saipan,Forbi,H'U,1,0,0,1,0,0,0,0,NA
Saipan,LADT,H'V,2,1,0,0,1,0,0,0,NA
Saipan,LADT,H'W,0,0,0,0,NA,NA,NA,NA,NA
Saipan,LADT,H'X,0,0,0,0,0,NA,NA,NA,NA
Saipan,LADT,H'Y,0,0,0,0,0,0,0,NA,NA
Saipan,LADT,H'Z,0,0,0,0,0,0,0,0,NA
Saipan,LADT,I'A,1,0,0,0,1,0,0,0,NA
Saipan,LADT,I'B,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,I'C,0,0,0,0,NA,NA,NA,NA,NA
Saipan,LADT,I'D,0,0,0,0,0,NA,NA,NA,NA
Saipan,LADT,I'E,0,0,0,0,0,0,NA,NA,NA
Saipan,LADT,I'F,1,0,0,0,0,1,0,0,NA
Saipan,LADT,I'G,0,0,0,NA,NA,NA,NA,NA,NA
Saipan,LADT,I'H,0,0,0,NA,NA,NA,NA,NA,NA
Saipan,LADT,I'I,1,1,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,I'J,0,0,0,NA,NA,NA,NA,NA,NA
Saipan,forbid,I'K,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,Forbi,I'L,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,I'M,1,1,NA,NA,NA,NA,NA,NA,NA
Saipan,LADT,I'N,0,0,0,NA,NA,NA,NA,NA,NA
Saipan,forbi,I'O,0,0,NA,NA,NA,NA,NA,NA,NA
Saipan,Forbi,I'P,0,0,NA,NA,NA,NA,NA,NA,NA
